Course Code,Academic Level,Section Code,Faculty Name,Resource ID,Resource Type,Entry Type,Duration,Day Of Week,Start Time,End Time
BMD,SE,ALL,VYB,10,CLASSROOM,LECTURE,1,THURSDAY,16:00,17:00
WT,TE,ALL,SSD,10,CLASSROOM,LECTURE,1,THURSDAY,09:30,10:30
AI&DS-I,TE,ALL,PPP,10,CLASSROOM,LECTURE,1,THURSDAY,10:30,11:30
MAD&PWA,TE,T3,RPP,17,LAB,LAB,2,THURSDAY,11:30,13:30
DS USING PYTHON,TE,T2,PPP,13,LAB,LAB,2,THURSDAY,11:30,13:30
SENSOR,TE,T1,SSD,14,LAB,LAB,2,THURSDAY,11:30,13:30
CC&S,BE,ALL,SAK,11,CLASSROOM,LECTURE,1,THURSDAY,10:30,11:30
BLOCK CHAIN,BE,ALL,SPP,11,CLASSROOM,LECTURE,1,THURSDAY,11:30,12:30
BIG DATA,BE,ALL,MND,11,CLASSROOM,LECTURE,1,THURSDAY,12:30,13:30
PM,BE,ALL,SD,11,CLASSROOM,LECTURE,1,THURSDAY,14:00,15:00
BMD,SE,S2,VYB,17,LAB,LAB,2,FRIDAY,09:30,11:30
MDM,SE,S3,SSL,16,LAB,LAB,2,FRIDAY,09:30,11:30
UNIX,SE,S4,PPP,13,LAB,LAB,2,FRIDAY,09:30,11:30
PPL,SE,S1,SAK,14,LAB,LAB,2,FRIDAY,09:30,11:30
OS,SE,ALL,PPP,10,CLASSROOM,LECTURE,1,FRIDAY,11:30,12:30
CNND,SE,ALL,SD,10,CLASSROOM,LECTURE,1,FRIDAY,12:30,13:30
MDM,SE,ALL,SSL,10,CLASSROOM,LECTURE,1,FRIDAY,14:00,15:00
NDL,SE,S3,SD,18,LAB,LAB,2,FRIDAY,15:00,17:00
MDM,SE,S4,SSL,14,LAB,LAB,2,FRIDAY,15:00,17:00
UNIX,SE,S1,PPP,13,LAB,LAB,2,FRIDAY,15:00,17:00
DTL,SE,S2,SPP,16,LAB,LAB,2,FRIDAY,15:00,17:00
EH&F,TE,ALL,RPP,11,CLASSROOM,LECTURE,1,FRIDAY,10:30,11:30
WT,TE,ALL,SSD,11,CLASSROOM,LECTURE,1,FRIDAY,11:30,12:30
WEB X.0,TE,ALL,SSL,11,CLASSROOM,LECTURE,1,FRIDAY,12:30,13:30
